"timestamp","cpu_percent","mem_available_mb","pagefile_percent","disk_time_percent","disk_bytes_sec","gpu_temp_c","gpu_util_percent","gpu_mem_util_percent","gpu_mem_used_mb","gpu_mem_total_mb","gpu_power_w","gpu_power_limit_w","gpu_clock_mhz","gpu_mem_clock_mhz","gpu_pstate","top_process","top_process_cpu_seconds","game_process","game_working_set_mb"
"2026-05-31T17:11:52","0.01","39085","0.01","0.03","267611.9","70","95","28","10878","16376","235.11","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1747","TheOuterWorlds2-WinGDK-Shipping","9246"
"2026-05-31T17:11:57","0.01","39074","0.01","0.52","4882262.41","69","90","28","10870","16376","230.82","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1763.9","TheOuterWorlds2-WinGDK-Shipping","9246.3"
"2026-05-31T17:12:02","0.01","39064","0.01","0.02","259646.36","67","88","29","10870","16376","231.69","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1782.9","TheOuterWorlds2-WinGDK-Shipping","9262.3"
"2026-05-31T17:12:07","0.01","39105","0.01","0.08","438329.32","69","89","28","10871","16376","230.58","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1804.2","TheOuterWorlds2-WinGDK-Shipping","9223.2"
"2026-05-31T17:12:13","0.01","39078","0.01","0.06","616741.65","69","91","30","10871","16376","237.48","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1822.8","TheOuterWorlds2-WinGDK-Shipping","9234.4"
"2026-05-31T17:12:18","0.01","39076","0.01","0.09","916248.74","69","94","33","10911","16376","242.94","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1840.4","TheOuterWorlds2-WinGDK-Shipping","9238.2"
"2026-05-31T17:12:23","0.01","39103","0.01","0","0","69","90","30","10879","16376","235.54","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1858.2","TheOuterWorlds2-WinGDK-Shipping","9198.6"
"2026-05-31T17:12:28","0.01","39089","0.01","0.06","418037.46","71","90","28","10879","16376","234.32","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1875","TheOuterWorlds2-WinGDK-Shipping","9204.7"
"2026-05-31T17:12:33","0.01","39091","0.01","0.77","7055316.36","69","85","29","10875","16376","234.72","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1892.1","TheOuterWorlds2-WinGDK-Shipping","9205.5"
"2026-05-31T17:12:38","0.01","39078","0.01","0.97","6421900.33","71","86","29","10871","16376","240.22","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1909","TheOuterWorlds2-WinGDK-Shipping","9216.9"
"2026-05-31T17:12:43","0.01","39095","0.01","0.01","4048.16","70","83","26","10928","16376","238.54","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1927.3","TheOuterWorlds2-WinGDK-Shipping","9220"
"2026-05-31T17:12:48","0.01","39089","0.01","0.15","409927.37","69","88","29","10884","16376","233.77","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1945.2","TheOuterWorlds2-WinGDK-Shipping","9213"
"2026-05-31T17:12:53","0.01","39095","0.01","0.07","652534.37","70","93","32","10920","16376","236.56","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1962.7","TheOuterWorlds2-WinGDK-Shipping","9207.7"
"2026-05-31T17:12:58","0.01","39128","0.01","0.04","113504.57","68","93","32","10936","16376","242.74","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1979.5","TheOuterWorlds2-WinGDK-Shipping","9212.1"
"2026-05-31T17:13:04","0.01","39142","0.01","0","0","70","91","31","10858","16376","239.24","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1995.7","TheOuterWorlds2-WinGDK-Shipping","9205.6"
"2026-05-31T17:13:09","0.01","39194","0.01","0.07","969019.11","68","87","30","10848","16376","237.99","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2014.2","TheOuterWorlds2-WinGDK-Shipping","9164.9"
"2026-05-31T17:13:14","0.01","39159","0.01","0.14","673986.32","70","96","34","10844","16376","241.73","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2029.7","TheOuterWorlds2-WinGDK-Shipping","9180.4"
"2026-05-31T17:13:19","0.01","39120","0.01","0.03","263590.52","70","90","32","10854","16376","244.68","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2046.8","TheOuterWorlds2-WinGDK-Shipping","9186.9"
"2026-05-31T17:13:24","0.01","39126","0.01","0.03","129747.37","68","91","33","10875","16376","250.29","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2065.2","TheOuterWorlds2-WinGDK-Shipping","9194.1"
"2026-05-31T17:13:29","0.01","39140","0.01","0.08","458629.03","71","92","32","10880","16376","248.48","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2083.8","TheOuterWorlds2-WinGDK-Shipping","9185.2"
"2026-05-31T17:13:34","0.01","39120","0.01","0.06","356828.58","69","92","31","10879","16376","246.50","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2100.2","TheOuterWorlds2-WinGDK-Shipping","9189.6"
"2026-05-31T17:13:39","0.01","39145","0.01","0","24331.56","71","92","31","10895","16376","242.48","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2118","TheOuterWorlds2-WinGDK-Shipping","9182.3"
"2026-05-31T17:13:44","0.01","39138","0.01","0.39","3844092.71","70","92","32","10879","16376","243.13","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2134.8","TheOuterWorlds2-WinGDK-Shipping","9186.2"
"2026-05-31T17:13:49","0.01","39129","0.01","0.01","85101.23","69","88","31","10906","16376","244.89","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2157.5","TheOuterWorlds2-WinGDK-Shipping","9201.4"
"2026-05-31T17:13:54","0.01","39117","0.01","0.09","912337.04","69","86","31","10903","16376","243.41","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2174.9","TheOuterWorlds2-WinGDK-Shipping","9221.4"
"2026-05-31T17:14:00","0.01","39090","0.01","0.5","6046137.98","71","93","33","10891","16376","237.97","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2191.8","TheOuterWorlds2-WinGDK-Shipping","9209.9"
"2026-05-31T17:14:05","0.01","39251","0.01","0.12","669291.72","71","89","30","10956","16376","237.71","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","2210.2","TheOuterWorlds2-WinGDK-Shipping","9075.2"
